feature,importance
categorical__encounter_class_wellness,0.25811023055404964
numeric__prior_encounters,0.18959723405437243
categorical__encounter_class_ambulatory,0.10103857196538821
numeric__num_procedures,0.0944474114973996
numeric__age_at_encounter,0.06256044028510838
numeric__num_conditions,0.06044160143360943
numeric__num_medications,0.0505008912373722
numeric__num_observations,0.045687439766520656
numeric__length_of_stay_days,0.043595207523458926
categorical__encounter_class_outpatient,0.03180840129851112
categorical__encounter_class_urgentcare,0.029867246068343054
categorical__gender_M,0.0069091535342964035
categorical__gender_F,0.006226663162968075
categorical__race_asian,0.004656983303408292
categorical__encounter_class_emergency,0.004515712094456891
categorical__encounter_class_inpatient,0.0030169794200524992
categorical__race_white,0.002137593924379279
categorical__race_black,0.0017015877706139017
categorical__ethnicity_nonhispanic,0.0012409139340624335
categorical__ethnicity_hispanic,0.0012159087608560716
categorical__race_hawaiian,0.0003986452988465444
categorical__race_other,0.0002878575776488749
categorical__race_native,3.732553427700328e-05
